Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year
CHEMBL100729,,0,409.57,0,3.89,(-)-5b,CCN1CC[C@]2(c3cccc(O)c3)Cc3[nH]c(C(=O)N(CC)CC)c(C)c3C[C@H]2C1,Ki,'=',1340,nM,5.87,,,UO_0000065,14.34,0.27,1.98,9.86,TRUE,CHEMBL752652,"Binding affinity against Opioid receptor kappa 1 using [3H]-U-69,593 as radioligand",B,BAO_0000357,single protein format,Mus musculus,,,,,,,,CHEMBL4329,Kappa opioid receptor,Mus musculus,SINGLE PROTEIN,CHEMBL1130172,1,Scientific Literature,J. Med. Chem.,1997
CHEMBL100729,,0,409.57,0,3.89,(+/-)-5b,CCN1CC[C@]2(c3cccc(O)c3)Cc3[nH]c(C(=O)N(CC)CC)c(C)c3C[C@H]2C1,Ki,'=',1298,nM,5.89,,,UO_0000065,14.37,0.27,2,9.88,TRUE,CHEMBL752652,"Binding affinity against Opioid receptor kappa 1 using [3H]-U-69,593 as radioligand",B,BAO_0000357,single protein format,Mus musculus,,,,,,,,CHEMBL4329,Kappa opioid receptor,Mus musculus,SINGLE PROTEIN,CHEMBL1130172,1,Scientific Literature,J. Med. Chem.,1997
CHEMBL100729,,0,409.57,0,3.89,(+)-5b,CCN1CC[C@]2(c3cccc(O)c3)Cc3[nH]c(C(=O)N(CC)CC)c(C)c3C[C@H]2C1,Ki,'=',6005,nM,5.22,,,UO_0000065,12.75,0.24,1.33,8.77,FALSE,CHEMBL752652,"Binding affinity against Opioid receptor kappa 1 using [3H]-U-69,593 as radioligand",B,BAO_0000357,single protein format,Mus musculus,,,,,,,,CHEMBL4329,Kappa opioid receptor,Mus musculus,SINGLE PROTEIN,CHEMBL1130172,1,Scientific Literature,J. Med. Chem.,1997
CHEMBL107670,,0,346.47,0,4.25,(+/-)-3,CCN1CC[C@]2(c3cccc(O)c3)Cc3[nH]c4ccccc4c3C[C@H]2C1,Ki,'=',334,nM,6.48,,,UO_0000065,18.69,0.34,2.23,16.5,FALSE,CHEMBL752652,"Binding affinity against Opioid receptor kappa 1 using [3H]-U-69,593 as radioligand",B,BAO_0000357,single protein format,Mus musculus,,,,,,,,CHEMBL4329,Kappa opioid receptor,Mus musculus,SINGLE PROTEIN,CHEMBL1130172,1,Scientific Literature,J. Med. Chem.,1997
CHEMBL107670,,0,346.47,0,4.25,(-)-3,CCN1CC[C@]2(c3cccc(O)c3)Cc3[nH]c4ccccc4c3C[C@H]2C1,Ki,'=',167,nM,6.78,,,UO_0000065,19.56,0.36,2.53,17.26,FALSE,CHEMBL752652,"Binding affinity against Opioid receptor kappa 1 using [3H]-U-69,593 as radioligand",B,BAO_0000357,single protein format,Mus musculus,,,,,,,,CHEMBL4329,Kappa opioid receptor,Mus musculus,SINGLE PROTEIN,CHEMBL1130172,1,Scientific Literature,J. Med. Chem.,1997
CHEMBL107670,,0,346.47,0,4.25,(+)-3,CCN1CC[C@]2(c3cccc(O)c3)Cc3[nH]c4ccccc4c3C[C@H]2C1,Ki,'=',771,nM,6.11,,,UO_0000065,17.64,0.32,1.86,15.57,FALSE,CHEMBL752652,"Binding affinity against Opioid receptor kappa 1 using [3H]-U-69,593 as radioligand",B,BAO_0000357,single protein format,Mus musculus,,,,,,,,CHEMBL4329,Kappa opioid receptor,Mus musculus,SINGLE PROTEIN,CHEMBL1130172,1,Scientific Literature,J. Med. Chem.,1997
CHEMBL100729,,0,409.57,0,3.89,(-)-4a,CCN1CC[C@]2(c3cccc(O)c3)Cc3[nH]c(C(=O)N(CC)CC)c(C)c3C[C@H]2C1,Ki,'=',1340,nM,5.87,,,UO_0000065,14.34,0.27,1.98,9.86,FALSE,CHEMBL699595,Binding affinity against Kappa opioid receptor using [3H]U-69593 radioligand in mouse brain homogenates,B,BAO_0000221,tissue-based format,Mus musculus,CHEMBL3638188,Brain,,,,,,CHEMBL4329,Kappa opioid receptor,Mus musculus,SINGLE PROTEIN,CHEMBL1152046,1,Scientific Literature,Bioorg. Med. Chem. Lett.,1997
CHEMBL100729,,0,409.57,0,3.89,(+)-4a,CCN1CC[C@]2(c3cccc(O)c3)Cc3[nH]c(C(=O)N(CC)CC)c(C)c3C[C@H]2C1,Ki,'=',1340,nM,5.87,,,UO_0000065,14.34,0.27,1.98,9.86,FALSE,CHEMBL699595,Binding affinity against Kappa opioid receptor using [3H]U-69593 radioligand in mouse brain homogenates,B,BAO_0000221,tissue-based format,Mus musculus,CHEMBL3638188,Brain,,,,,,CHEMBL4329,Kappa opioid receptor,Mus musculus,SINGLE PROTEIN,CHEMBL1152046,1,Scientific Literature,Bioorg. Med. Chem. Lett.,1997
CHEMBL100729,,0,409.57,0,3.89,4a,CCN1CC[C@]2(c3cccc(O)c3)Cc3[nH]c(C(=O)N(CC)CC)c(C)c3C[C@H]2C1,Ki,'=',1298,nM,5.89,,,UO_0000065,14.37,0.27,2,9.88,FALSE,CHEMBL699595,Binding affinity against Kappa opioid receptor using [3H]U-69593 radioligand in mouse brain homogenates,B,BAO_0000221,tissue-based format,Mus musculus,CHEMBL3638188,Brain,,,,,,CHEMBL4329,Kappa opioid receptor,Mus musculus,SINGLE PROTEIN,CHEMBL1152046,1,Scientific Literature,Bioorg. Med. Chem. Lett.,1997
CHEMBL2402939,,0,595.66,2,-3.26,10a,CN/C1=N/C[C@@H](C(N)=O)NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)CN1,EC50,'=',281.84,nM,6.55,,,UO_0000065,,,,,FALSE,CHEMBL2404093,Agonist activity at mu opioid receptor in rat brain membranes assessed as stimulation of [35S]GTPgammaS binding after 60 mins in presence of GDP,F,BAO_0000249,cell membrane format,Rattus norvegicus,CHEMBL3638188,Brain,,Brain membranes,,,,CHEMBL270,Mu opioid receptor,Rattus norvegicus,SINGLE PROTEIN,CHEMBL2401649,1,Scientific Literature,J. Med. Chem.,2013
CHEMBL2402939,,0,595.66,2,-3.26,10b,CN/C1=N/C[C@@H](C(N)=O)NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)CN1,EC50,'=',1592,nM,5.8,,,UO_0000065,,,,,FALSE,CHEMBL2404093,Agonist activity at mu opioid receptor in rat brain membranes assessed as stimulation of [35S]GTPgammaS binding after 60 mins in presence of GDP,F,BAO_0000249,cell membrane format,Rattus norvegicus,CHEMBL3638188,Brain,,Brain membranes,,,,CHEMBL270,Mu opioid receptor,Rattus norvegicus,SINGLE PROTEIN,CHEMBL2401649,1,Scientific Literature,J. Med. Chem.,2013
