canonical_smiles,dipole,SASA,FISA,donorHB,accptHB,QPlogPw,QPlogPo/w,QPlogS,
C=CCN[C@@H](Cc1c(C)cc(O)cc1C)C(=O)N(CCC)c1cnc(N(CCC)C(=O)[C@H](Cc2c(C)cc(O)cc2C)NCC=C)c(=O)[nH]1,5.432,1001.355,174.573,,13,4,19.079,4.401,
C=CCN[C@@H](Cc1c(C)cc(O)cc1C)C(=O)N(CCC)c1cnc(N(CCC)C(=O)[C@H](Cc2c(C)cc(O)cc2C)NCC=C)c(=O)[nH]1,7.402,1009.659,203.515,,13,4,19.1,4.337,
C=CCN[C@@H](Cc1c(C)cc(O)cc1C)C(=O)N(CCC)c1cnc(N(CCC)C(=O)[C@H](Cc2c(C)cc(O)cc2C)NCC=C)c(=O)[nH]1,5.432,1001.355,174.573,,13,4,19.079,4.401,
C=CCN1CC(C)N(C(c2ccc(C(=O)N(CC)CC)cc2)c2cccc(O)c2)CC1C,5.828,809.912,88.772,,7.75,11.024,4.02,-3.683,
C=CCN1CC(C)N(C(c2ccc(C(=O)N(CC)CC)cc2)c2cccc(O)c2)CC1C,6.379,799.431,86.221,,7.75,10.945,3.972,-3.683,
C=CCN1CC(C)N(C(c2ccc(C(=O)N(CC)CC)cc2)c2cccc(O)c2)CC1C,3.41,792.763,88.178,,7.75,10.895,3.949,-3.683,
C=CCN1C2CCCC1CN(C(c1ccc(C(=O)N(CC)CC)cc1)c1cccc(OC)c1)CC2,3.344,805.316,542.274,32.332,7.75,9.095,4.68,-4.044,
C=CCN1C2CCCC1CN(C(c1ccc(C(=O)N(CC)CC)cc1)c1cccc(OC)c1)CC2,4.606,821.317,573.739,33.615,7.75,9.028,4.896,-4.044,
C=CCN1C2CCCC1CN(C(c1ccc(C(=O)N(CC)CC)cc1)c1cccc(OC)c1)CC2,4.115,840.132,595.42,34.086,7.75,9.054,4.967,-4.044,
CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)[C@@H]1Cc2ccc(O)cc2CO1,2.6080000000000001,784.0660000000000309,140.8340000000000032,3.0000000000000000,7.7000000000000002,25.7379999999999995,16.6359999999999992,-4.2569999999999997,
CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)[C@@H]1Cc2ccc(O)cc2CO1,5.2380000000000004,819.8039999999999736,133.1610000000000014,3.0000000000000000,6.0000000000000000,25.5399999999999991,14.2720000000000002,-5.7290000000000001,
CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)[C@@H]1Cc2ccc(O)cc2CO1,5.2380000000000004,819.8039999999999736,133.1610000000000014,3.0000000000000000,6.0000000000000000,25.5399999999999991,14.2720000000000002,-5.7290000000000001,
